foodId,location,establishmentId,stallId,genre,foodName,Ratings,Description,imageId
1,Prince George Park,1,1,Indian,Butter Chicken,0.67,"Butter Chicken: Butter Chicken is a popular Indian dish that consists of tender chicken pieces marinated in a mixture of yogurt and spices, then cooked in a creamy tomato-based sauce. It is rich, flavorful, and usually served with rice or naan.",
2,Prince George Park,1,1,Indian,Chicken Tikka Masala,2.40,"Chicken Tikka Masala: Chicken Tikka Masala is a classic Indian dish where marinated and grilled chicken pieces are simmered in a rich and aromatic tomato-based sauce, spiced with a blend of Indian spices and creamy ingredients.",
3,Prince George Park,1,1,Indian,Tandoori Chicken,0.98,"Tandoori Chicken: Tandoori Chicken is a well-known Indian dish where chicken is marinated in a mixture of yogurt and various spices, including turmeric and cayenne pepper, and then cooked in a traditional clay oven called a tandoor. It is usually served with naan and accompanied by mint chutney.",
4,Prince George Park,1,1,Indian,Rogan Josh ,3.99,"Rogan Josh: Rogan Josh is a flavorful Kashmiri lamb dish cooked with a blend of aromatic spices, including cloves, cinnamon, and cardamom, in a tomato-based sauce. The dish has Persian origins and is now popular in Indian cuisine.",
5,Prince George Park,1,1,Indian,Palak Paneer ,1.89,"Palak Paneer: Palak Paneer is a vegetarian Indian dish consisting of paneer (Indian cottage cheese) cooked in a creamy spinach (palak) sauce with spices. It is a nutritious and tasty option, often served with naan or rice.",
6,Prince George Park,1,1,Indian,Chana Masala ,3.95,"Chana Masala: Chana Masala, also known as Chole, is a popular North Indian vegetarian dish made with chickpeas (chana) cooked in a spicy and tangy tomato-based gravy with various Indian spices.",
7,Prince George Park,1,1,Indian,Vegetable Biryani,0.63,"Vegetable Biryani: Vegetable Biryani is a fragrant and flavorful rice dish cooked with a mix of colorful vegetables, basmati rice, and aromatic spices. It is a vegetarian version of the famous Indian biryani.",
8,Prince George Park,1,1,Indian,Dal Makhani ,4.92,"Dal Makhani: Dal Makhani is a creamy and indulgent Punjabi lentil dish made with black gram (urad dal) and kidney beans (rajma), cooked with butter, cream, and spices.",
9,Prince George Park,1,1,Indian,Aloo Gobi ,1.32,"Aloo Gobi: Aloo Gobi is a simple and delicious Indian vegetarian dish made with potatoes (aloo) and cauliflower (gobi) cooked together with onions, tomatoes, and spices.",
10,Prince George Park,1,1,Indian,Malai Kofta ,2.05,Malai Kofta: Malai Kofta is a popular vegetarian dish made of deep-fried paneer or potato dumplings served in a rich and creamy gravy. The gravy is often made with cashew nuts and heavy cream.,
11,Prince George Park,1,1,Indian,Naan,3.06,"Naan (Indian bread): Naan is a traditional Indian flatbread, typically cooked in a tandoor. It is soft, fluffy, and slightly charred, often served as an accompaniment to Indian curries and gravies.",
12,Prince George Park,1,1,Indian,Samosas ,3.92,"Samosas: Samosas are triangular-shaped pastries filled with a savory mixture of spiced potatoes, peas, and sometimes minced meat. They are deep-fried to golden perfection and are popular as a snack or appetizer in Indian cuisine.",
13,Prince George Park,1,1,Indian,Chicken Biryani,0.41,"Chicken Biryani: Chicken Biryani is a flavorful and aromatic rice dish made with basmati rice, marinated chicken, and a blend of spices. It is a famous Indian dish with regional variations.",
